Date,AC.MX,ALFAA.MX,ALSEA.MX,AMXL.MX,ASURB.MX,BBAJIOO.MX,BIMBOA.MX,BOLSAA.MX,CEMEXCPO.MX,CUERVO.MX,ELEKTRA.MX,FEMSAUBD.MX,GAPB.MX,GCARSOA1.MX,GFINBURO.MX,GFNORTEO.MX,GMEXICOB.MX,GRUMAB.MX,KIMBERA.MX,LABB.MX,LIVEPOLC-1.MX,MEGACPO.MX,OMAB.MX,ORBIA.MX,PE&OLES.MX,PINFRA.MX,TLEVISACPO.MX,WALMEX.MX
2020-02-20,98.43999481201172,13.14962100982666,42.83000183105469,15.04532241821289,344.8258361816406,24.604028701782227,29.374454498291016,38.958290100097656,7.0,32.97478485107422,1368.9366455078125,166.91458129882812,228.0714874267578,64.64327239990234,22.149999618530273,105.80818176269531,42.44179916381836,187.99197387695312,34.1635856628418,19.81019401550293,85.70358276367188,62.69375991821289,131.6844482421875,39.49325180053711,193.0098876953125,191.51846313476562,42.16501998901367,55.8989372253418
2020-02-21,97.19457244873047,13.040289878845215,43.90999984741211,15.136727333068848,350.84075927734375,24.54794692993164,30.53421974182129,39.62491226196289,7.099999904632568,32.93603515625,1360.9984130859375,163.129638671875,224.70565795898438,63.748680114746094,22.0,105.10638427734375,42.13804626464844,187.5094451904297,33.90843200683594,19.873401641845703,85.88902282714844,62.48809051513672,133.64443969726562,38.53843307495117,194.08937072753906,192.36293029785156,42.371707916259766,57.04309844970703
2020-02-24,97.13276672363281,13.09992504119873,42.970001220703125,14.588297843933105,331.1495361328125,24.035194396972656,30.71484375,39.486392974853516,7.050000190734863,32.90697479248047,1361.40380859375,158.7797393798828,215.6715850830078,61.9109001159668,21.739999771118164,102.90983581542969,41.44614791870117,189.94985961914062,33.723670959472656,18.699594497680664,85.05451965332031,62.076744079589844,129.3410186767578,37.63364028930664,205.98382568359375,187.32443237304688,42.06659698486328,55.11353302001953
2020-02-25,96.94728088378906,13.040289878845215,43.13999938964844,14.259237289428711,309.5500183105469,24.203441619873047,29.849767684936523,39.26995849609375,6.900000095367432,32.08357238769531,1357.39013671875,156.2376251220703,204.3720245361328,60.14118576049805,21.5,102.61817169189453,40.172054290771484,188.3167266845703,33.477317810058594,18.275218963623047,86.73280334472656,61.76377487182617,125.33585357666016,37.56935501098633,204.93431091308594,187.4933319091797,39.29102325439453,54.75477981567383
2020-02-26,95.95801544189453,12.901139259338379,42.349998474121094,14.396345138549805,312.93634033203125,24.499876022338867,29.973350524902344,37.91074752807617,6.440000057220459,31.22142219543457,1369.2529296875,157.47103881835938,203.5583038330078,59.07157897949219,21.1200008392334,102.39031219482422,38.58576202392578,186.28463745117188,33.88203811645508,18.356483459472656,86.89970397949219,60.90532302856445,116.8398208618164,37.32140350341797,197.40782165527344,185.27902221679688,38.98591232299805,54.36692810058594
2020-02-27,94.53595733642578,12.483692169189453,39.400001525878906,14.140411376953125,299.2226257324219,23.794845581054688,28.642467498779297,37.045005798339844,6.170000076293945,30.233341217041016,1351.1226806640625,153.84613037109375,195.3749237060547,55.15291976928711,20.6299991607666,98.96332550048828,37.80949020385742,182.17405700683594,33.60929870605469,18.672508239746094,83.6636734008789,60.34196472167969,108.25003051757812,35.67756652832031,190.61099243164062,180.89732360839844,37.67686462402344,53.65909957885742
2020-02-28,95.38387298583984,12.493630409240723,39.91999816894531,14.186114311218262,303.9186096191406,24.596017837524414,28.224191665649414,35.99746322631836,6.340000152587891,29.032146453857422,1312.3909912109375,149.90113830566406,197.56640625,52.53723907470703,21.1200008392334,97.19515228271484,39.16796112060547,175.42822265625,32.79105758666992,17.986284255981445,85.1286849975586,58.92909240722656,110.15887451171875,35.346961975097656,177.35719299316406,180.26869201660156,36.249717712402344,53.523353576660156
2020-03-02,95.2602310180664,12.583084106445312,41.95000076293945,14.579155921936035,295.7146911621094,24.211454391479492,29.31741714477539,37.062320709228516,6.409999847412109,29.642431259155273,1300.775390625,152.90460205078125,198.42636108398438,54.316680908203125,21.06999969482422,101.87080383300781,39.918922424316406,177.59951782226562,33.160579681396484,18.19395637512207,85.4532241821289,59.79648971557617,111.4200668334961,37.91832733154297,184.23397827148438,179.452392578125,35.53121566772461,55.772884368896484
2020-03-03,96.0816650390625,12.583084106445312,43.349998474121094,14.807671546936035,296.8559265136719,24.131336212158203,29.62161636352539,37.52116394042969,6.590000152587891,31.056745529174805,1298.3436279296875,153.9026336669922,201.2096405029297,53.80132293701172,20.899999618530273,101.17811584472656,41.665531158447266,173.4054412841797,32.685482025146484,17.877931594848633,86.43609619140625,59.563995361328125,108.96585083007812,38.30402374267578,188.77186584472656,185.6355743408203,35.226097106933594,56.17042922973633
2020-03-04,96.68229675292969,12.742112159729004,43.97999954223633,15.346961975097656,305.1907958984375,25.052684783935547,30.439159393310547,37.54713821411133,6.730000019073486,31.19236183166504,1303.5235595703125,158.93040466308594,205.7220458984375,57.31158447265625,21.469999313354492,102.41766357421875,41.817413330078125,176.9778289794922,33.917232513427734,18.11269187927246,88.02165222167969,59.92168045043945,111.05364227294922,38.928497314453125,193.91944885253906,185.07260131835938,36.948524475097656,56.878257751464844
